CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
DE-CO,2016151336,10/31/2016,Nevutica LLC,4329-4411 W Nevada Pl,Denver,ML Nevada LLC,2800000,Apt,1956,1.01,12072,20,43885,231.9416832,140000,63.8031218,0,0.0815,228318,65517,293835,,N,Y,Y,1,2,3,MT apts,Older complex fully updated all 2 BR.
DE-CO,2016153140,11/1/2016,Emic Properties LLC,3100 S Sheridan Blvd,Denver,LG Sheridan Denver LLC,2250000,Ret,1989,0.90,4457,,39261,504.8238726,#DIV/0!,57.30877971,0,,,,,,N,Y,Y,2,2,2,IHOP,Good pad restaurant.
DE-CO,2016150620,10/28/2016,BCP - Oakland I LLC,4825 Oakland St,Denver,Colfaxblack LLC,1830000,Ind,1974,1.04,16122,,45091,113.5094901,#DIV/0!,40.5845956,0,,,,,0.0000,N,Y,Y,2,3,3,MT ind,"7,000 sf Office, flammable stg, heavy pwr"
DE-CO,2016150872,10/28/2016,5895 East Evans Ave,5895 E Evans Ave,Denver,Saitta Family Property LLc,1370000,Ind,1969,1.01,13065,,43996,104.8603138,#DIV/0!,31.13947758,0,,,,,0.0000,N,Y,Y,2,2,2,MT ind,Avg flex bldg.  Ask $7.95 SF NNN.
DE-CO,2016148206,10/24/2016,Emmanuel Methodist Church,2700 S Downing St,Denver,Flatirons Community Church Inc,1250000,Chu,1953,0.52,18232,0,22450,68.56077227,#DIV/0!,55.67928731,0,,,,,,Y,Y,Y,2,2,2,Church,Smaller older infill church bought by user.
DE-CO,2016151228,10/28/2016,Robert Spindle Living Tr,4575 Pecos St,Denver,GT Capital LLC,720000,Ind,1969,0.28,3270,,12000,220.1834862,#DIV/0!,60,0,,,,,0.0000,N,Y,Y,2,2,2,SF ind,Metal office warehouse in upcoming area.
DE-CO,2016151210,10/28/2016,Yan Nekhenzon,4573 Pecos St,Denver,GT Capital LLC,535000,Ind,1969,0.18,3200,,8000,167.1875,#DIV/0!,66.875,0,,,,,0.0000,N,Y,Y,2,2,2,SF ind,Metal office warehouse in upcoming area.
AR-CO,2016139651,10/7/2016,FC Stapleton II LLC,N/S 29th Ave56' E of Havana St,Denver,6th Gen Real Estate LLC,484600,Lnd,0,0.56,0,,24229,#DIV/0!,#DIV/0!,20.00082546,0,,,,,1.0000,N,Y,Y,3,3,3,Off land,Chiropractor to build own building.
DO-CO,2016076032,10/17/2016,Bear View LLC,650 Sky View Lane,Larkspur,Sun Jelly-Larkspur LLC,7420000,RV,0,68.97,5574,218,3004333,1331.180481,34036.69725,2.469766003,0,,,,,,N,Y,Y,2,2,2,Rv land,Yogi Bears RV park. 179 RV spots 39 tents.
DO-CO,2016079748,11/3/2016,Castle Rock Development,NEC Saffron Dr & Meadows Dr,Castle Rock,Echelon Castle Rock LLC,6230000,Lnd,0,15.04,218774,240,655012,28.47687568,25958.33333,9.511280195,0,,,,0,1.0000,Y,Y,Y,2,2,2,MF land,Plan 240 unit apt project.
